Commit hash, Repository name, Author name, Filename, nloc, cyclomatic complexity, Num lines added, Num lines removed, Change type, Label
987851,commons-pool,Phil Steitz,GenericKeyedObjectPool.java,767,202,3,11,MODIFY,PR
16a2ef563c9d87253a2347628f796776d0987851,commons-pool,Phil Steitz,GenericObjectPool.java,508,131,2,13,MODIFY,PR
094266f6a51a974ffb6dc264bcb6f7c13801fd96,commons-pool,Phil Steitz,GenericKeyedObjectPool.java,767,198,139,148,MODIFY,PR
094266f6a51a974ffb6dc264bcb6f7c13801fd96,commons-pool,Phil Steitz,GenericObjectPool.java,531,134,99,75,MODIFY,PR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,PoolUtils.java,1053,258,19,20,MODIFY,NPR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,AbstractLender.java,33,7,1,1,MODIFY,NPR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,AbstractManager.java,69,13,1,1,MODIFY,NPR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,FailManager.java,60,14,1,1,MODIFY,NPR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,FifoLender.java,19,3,1,1,MODIFY,NPR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,GrowManager.java,116,29,1,1,MODIFY,NPR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,IdleLimitManager.java,32,7,1,1,MODIFY,NPR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,LifoLender.java,19,3,1,1,MODIFY,NPR
58136246b29d73073da55af49a999699db8d6410,commons-pool,Sebastian Bazley,WaitLimitManager.java,48,13,1,1,MODIFY,NPR
6566a1a6d4d57e4bb6d4765512b46729bcc99c67,commons-pool,Phil Steitz,BaseKeyedObjectPool.java,42,12,2,2,MODIFY,NPR
9a9f3f4059da32e16d0a8bde529edbd8324f4bf3,commons-pool,Phil Steitz,GenericKeyedObjectPool.java,767,198,6,6,MODIFY,NPR
9a9f3f4059da32e16d0a8bde529edbd8324f4bf3,commons-pool,Phil Steitz,GenericObjectPool.java,531,134,6,6,MODIFY,NPR
9a9f3f4059da32e16d0a8bde529edbd8324f4bf3,commons-pool,Phil Steitz,StackKeyedObjectPool.java,278,71,1,1,MODIFY,NPR
3419b0dee3f784d4a58ea787445df8e7586eb481,commons-pool,Phil Steitz,GenericKeyedObjectPool.java,767,198,6,6,MODIFY,NPR
3419b0dee3f784d4a58ea787445df8e7586eb481,commons-pool,Phil Steitz,GenericObjectPool.java,531,134,6,6,MODIFY,NPR
3419b0dee3f784d4a58ea787445df8e7586eb481,commons-pool,Phil Steitz,StackKeyedObjectPool.java,278,71,1,1,MODIFY,NPR
cdc4a2445da029fd2c60b81086ff5f890f94b0e6,commons-pool,Phil Steitz,GenericObjectPool.java,531,134,19,0,MODIFY,NPR
4297ca722297c4352e8ea2e969e440226f07fb68,commons-pool,Phil Steitz,GenericObjectPool.java,531,134,19,0,MODIFY,NPR
9ae636052e15be4ffd66d37a5c07ea52b2e0d939,commons-pool,Phil Steitz,GenericObjectPoolFactory.java,69,12,1,1,MODIFY,NPR
5b14c41111dd4118fe468b3a767968601646befa,commons-pool,Phil Steitz,CursorableLinkedList.java,846,255,0,4,MODIFY,NPR
2113166ed6a359adfcde240310960f1aee3f2607,commons-pool,Mark Thomas,EvictionTimer.java,49,8,35,1,MODIFY,PR
1d9e39095ccecdf3668236177bc17b4561382316,commons-pool,Mark Thomas,GenericKeyedObjectPool.java,1100,250,50,32,MODIFY,PR
1d9e39095ccecdf3668236177bc17b4561382316,commons-pool,Mark Thomas,GenericObjectPool.java,749,168,66,46,MODIFY,PR
6979917d99021f44432d089588477439bee37d05,commons-pool,Mark Thomas,GenericKeyedObjectPool.java,947,228,43,25,MODIFY,PR
6979917d99021f44432d089588477439bee37d05,commons-pool,Mark Thomas,GenericObjectPool.java,608,148,42,24,MODIFY,PR
f7a6d7ae57ee0ed9e1da7967730def2c5ffe3e8c,commons-pool,Mark Thomas,GenericKeyedObjectPool.java,818,179,183,129,MODIFY,PR
5392bccc645803a66541ec1e01172a22f50da7d9,commons-pool,Mark Thomas,GenericKeyedObjectPool.java,1170,242,21,9,MODIFY,PR
5392bccc645803a66541ec1e01172a22f50da7d9,commons-pool,Mark Thomas,GenericKeyedObjectPoolMBean.java,33,0,1,0,MODIFY,PR
5392bccc645803a66541ec1e01172a22f50da7d9,commons-pool,Mark Thomas,GenericObjectPool.java,830,167,22,9,MODIFY,PR
5392bccc645803a66541ec1e01172a22f50da7d9,commons-pool,Mark Thomas,GenericObjectPoolMBean.java,30,0,1,0,MODIFY,PR
6df9afdb2c5125beb388b67570f73818d660aa12,commons-pool,Mark Thomas,BaseGenericObjectPool.java,402,89,15,6,MODIFY,PR
8fc4243d0f15813c9caf37635113489854cbd655,jackson-core,Tatu Saloranta,UTF8JsonGenerator.java,1415,308,15,5,MODIFY,PR
5db03b63daf09a8e118cb10f9342520f5f22f016,jackson-core,Tatu Saloranta,UTF8JsonGenerator.java,1417,308,88,86,MODIFY,NPR
7ee38785ecdd2f5a56a41302d4482675ce0d7e68,jackson-core,Tatu Saloranta,UTF8StreamJsonParser.java,2496,702,62,62,MODIFY,NPR
0e10fd5df63e3ad3b4d3b030ad4388b5a8a42d99,jackson-core,Tatu Saloranta,JsonGenerator.java,367,66,104,0,MODIFY,NPR
0e10fd5df63e3ad3b4d3b030ad4388b5a8a42d99,jackson-core,Tatu Saloranta,GeneratorBase.java,266,59,4,93,MODIFY,NPR
0e10fd5df63e3ad3b4d3b030ad4388b5a8a42d99,jackson-core,Tatu Saloranta,JsonGeneratorDelegate.java,448,103,140,213,MODIFY,NPR
5cf2e6e70331140abd391a6e1ae6f3e35eedaadb,jackson-core,Tatu Saloranta,JsonGenerator.java,481,93,122,4,MODIFY,NPR
5cf2e6e70331140abd391a6e1ae6f3e35eedaadb,jackson-core,Tatu Saloranta,GeneratorBase.java,158,32,0,120,MODIFY,NPR
5cf2e6e70331140abd391a6e1ae6f3e35eedaadb,jackson-core,Tatu Saloranta,JsonGeneratorDelegate.java,352,78,4,104,MODIFY,NPR
bc54062b89022415ae77db8796c961b4574f6d7e,jackson-core,Tatu Saloranta,WriterBasedJsonGenerator.java,1486,320,1,1,MODIFY,NPR
6f91dcf935c3e142f631361a1e830ad204509a8c,jackson-core,Tatu Saloranta,ReaderBasedJsonParser.java,1521,449,1,1,MODIFY,NPR
87cba322475fdbd57024938e98940aaa4c8c70d4,jackson-core,Tatu Saloranta,Name1.java,14,7,9,26,MODIFY,NPR
87cba322475fdbd57024938e98940aaa4c8c70d4,jackson-core,Tatu Saloranta,Name2.java,16,7,7,17,MODIFY,NPR
87cba322475fdbd57024938e98940aaa4c8c70d4,jackson-core,Tatu Saloranta,Name3.java,19,7,8,16,MODIFY,NPR
87cba322475fdbd57024938e98940aaa4c8c70d4,jackson-core,Tatu Saloranta,NameN.java,28,8,11,16,MODIFY,NPR
87cba322475fdbd57024938e98940aaa4c8c70d4,jackson-core,Tatu Saloranta,TypeReference.java,18,4,3,6,MODIFY,NPR
87cba322475fdbd57024938e98940aaa4c8c70d4,jackson-core,Tatu Saloranta,JsonGeneratorDelegate.java,196,78,38,109,MODIFY,NPR
9c135008cf2e9d56c6843cae359e4f12a61a6606,jackson-core,Tatu Saloranta,BytesToNameCanonicalizer.java,600,126,15,15,MODIFY,NPR
9c135008cf2e9d56c6843cae359e4f12a61a6606,jackson-core,Tatu Saloranta,Name1.java,14,7,1,1,MODIFY,NPR
aefbe1dcbab1896f885f85b07de202cd252bc1db,jackson-core,Tatu Saloranta,BytesToNameCanonicalizer.java,580,126,106,129,MODIFY,NPR
9318b80535d5caf1a2ffa90d09574b19d71cddf5,jackson-core,Tatu Saloranta,CharsToNameCanonicalizer.java,305,68,25,55,MODIFY,NPR
fe5b69812cd70489f61bf844d9c99ef625377d2a,jackson-core,Tatu Saloranta,BaseReader.java,62,10,1,2,MODIFY,NPR
fe5b69812cd70489f61bf844d9c99ef625377d2a,jackson-core,Tatu Saloranta,OutputDecorator.java,8,0,2,4,MODIFY,NPR
fe5b69812cd70489f61bf844d9c99ef625377d2a,jackson-core,Tatu Saloranta,SegmentedStringWriter.java,46,12,10,25,MODIFY,NPR
fe5b69812cd70489f61bf844d9c99ef625377d2a,jackson-core,Tatu Saloranta,SerializedString.java,172,40,12,24,MODIFY,NPR
fe5b69812cd70489f61bf844d9c99ef625377d2a,jackson-core,Tatu Saloranta,UTF32Reader.java,117,30,12,32,MODIFY,NPR
